[INFO][2017-06-28 13:27:37,747][org.hibernate.cfg.Environment]HHH000206: hibernate.properties not found
[INFO][2017-06-28 13:27:37,748][org.hibernate.cfg.Environment]HHH000021: Bytecode provider name : javassist
[INFO][2017-06-28 13:27:38,088][org.hibernate.dialect.Dialect]HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
[INFO][2017-06-28 13:27:38,162][org.hibernate.engine.transaction.internal.TransactionFactoryInitiator]HHH000399: Using default transaction strategy (direct JDBC transactions)
[INFO][2017-06-28 13:27:38,165][org.hibernate.hql.internal.ast.ASTQueryTranslatorFactory]HHH000397: Using ASTQueryTranslatorFactory
[WARN][2017-06-28 13:27:38,188][org.hibernate.id.UUIDHexGenerator]HHH000409: Using org.hibernate.id.UUIDHexGenerator which does not generate IETF RFC 4122 compliant UUID values; consider using org.hibernate.id.UUIDGenerator instead
[INFO][2017-06-28 13:27:38,284][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000228: Running hbm2ddl schema update
[INFO][2017-06-28 13:27:38,284][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000102: Fetching database metadata
[INFO][2017-06-28 13:27:38,287][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000396: Updating schema
[INFO][2017-06-28 13:27:38,298][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000261: Table found: HemsCommunity.t_user
[INFO][2017-06-28 13:27:38,299][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000037: Columns: [birthday, password, name, id]
[INFO][2017-06-28 13:27:38,299][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000108: Foreign keys: []
[INFO][2017-06-28 13:27:38,299][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000126: Indexes: []
[INFO][2017-06-28 13:27:38,300][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000232: Schema update complete
[INFO][2017-06-28 13:30:55,803][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} closed
[ERROR][2017-06-28 13:31:02,788][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2017-06-28 13:31:02,823][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2017-06-28 13:31:02,916][org.hibernate.annotations.common.Version]HCANN000001: Hibernate Commons Annotations {4.0.2.Final}
[INFO][2017-06-28 13:31:02,921][org.hibernate.Version]HHH000412: Hibernate Core {4.2.5.Final}
[INFO][2017-06-28 13:31:02,923][org.hibernate.cfg.Environment]HHH000206: hibernate.properties not found
[INFO][2017-06-28 13:31:02,925][org.hibernate.cfg.Environment]HHH000021: Bytecode provider name : javassist
